dialog,movie,character,_id
I do not believe this darkness will endure.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfcef),ObjectId(5cd96e05de30eff6ebcce85b)
"Look! The Orcs, they're moving off!",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce85c)
Get down cur!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce85d)
Ah!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfe9d),ObjectId(5cd96e05de30eff6ebcce85e)
Saruman! You were deep in the enemy's counsel. Tell us what you know!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce85f)
You withdraw your guard and I will tell you where your doom will be decided. I will not be held prisoner here!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea4),ObjectId(5cd96e05de30eff6ebcce860)
Send word to all our allies and to every corner of Middle Earth that still stands free. The enemy moves against us. We need to know where he will strike.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce861)
The filth of Saruman is washing away. Trees will come back to live here. Young trees. Wild trees.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd9d533844dc4c55e47afed),ObjectId(5cd96e05de30eff6ebcce862)
Pippin!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfbe6),ObjectId(5cd96e05de30eff6ebcce863)
Bless my bark!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd9d533844dc4c55e47afed),ObjectId(5cd96e05de30eff6ebcce864)
Peregrin Took. I'll take that my lad! Quickly now!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce865)
Do not come between the Nazg'l and his prey.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd9d576844dc4c55e47afee),ObjectId(5cd96e05de30eff6ebcce866)
"Late as usual, pirate scum. There's knifework here needs doing. Come on you sea rats, get off your ships.",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce867)
You see Mr Frodo some luck at last!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce868)
"Move it, you slugs!",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce869)
Come on! Faster!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce86a)
"Come along you scum! I'll whip you down to the bone! Come on! What have I told you. Get up! Come on you slugs! You two are going straight to the front line! Move it, come on! Fall in! Move it! Move it! Move it!",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce86b)
"To the gate you slugs, now move it! Don't you know we're at war?",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce86c)
Company halt! Inspection!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce86d)
You fool! No man can kill me. Die now!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd9d576844dc4c55e47afee),ObjectId(5cd96e05de30eff6ebcce86e)
"There's plenty for the both of us, may be best Dwarf win!",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd23),ObjectId(5cd96e05de30eff6ebcce86f)
I am no man!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbdecb6dc0baeae48cfa59),ObjectId(5cd96e05de30eff6ebcce870)
Mr Frodo!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce871)
Sam! Help me!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfc15),ObjectId(5cd96e05de30eff6ebcce872)
Stand up Mr Frodo. Stand up!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce873)
Get off of me! Nobody pushes me you filthy maggot! Get off of me!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfd0d),ObjectId(5cd96e05de30eff6ebcce874)
Retreat! The city is breached. Fall back to the second level. Get the women and children out. Get them out. Retreat.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cd99d4bde30eff6ebccfea0),ObjectId(5cd96e05de30eff6ebcce875)
"Come on, come on!",ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce876)
Move into the city. Kill all in your path.,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbdecb6dc0baeae48cfa96),ObjectId(5cd96e05de30eff6ebcce877)
Break it up! Break it up!,ObjectId(5cd95395de30eff6ebccde5d),ObjectId(5cdbe49b7ed9587226e794a0),ObjectId(5cd96e05de30eff6ebcce878)
